brand,model,description,price,exposition_days_count,images_count,label
STARWIND,SW-LED32BA201,Рабочий,500.0,150,7,good
JVC,AV-1404AE,Рабочий,1800.0,165,29,good
Hitachi,42PD5200,Рабочий,1000.0,151,16,good
Samsung,CS-25D4 R PROGUN II,Рабочий,800.0,143,2,good
LG,CF-20F30K,Рабочий,500.0,23,19,good
GoldStar,LT-19T300R,Рабочий,1500.0,73,5,good
Thomson,14MH211KH,Рабочий,600.0,60,23,good
Sony,KV-21CT1K,Рабочий,5000.0,59,29,good
Сокол,54ТЦ7164,Рабочий,800.0,94,7,good
Samsung,CS-25D4 R PROGUN II,Рабочий,500.0,200,20,good
Sharp,CV-2195RU,Рабочий,1300.0,8,13,good
Panasonic,TC-2170R,Рабочий,1000.0,9,3,good
Hi,VHIX-65U169TSY,Рабочий,35000.0,109,15,good
Panasonic,TX-R37LX86K,Рабочий,2000.0,171,20,good
Hitachi,C2133MN,Рабочий,4000.0,18,5,good
Sony,KV 21FT2K,Рабочий,500.0,137,3,good
Cameron,21SL40,Рабочий,100.0,157,20,good
Sony,KD-43X8305C,Рабочий,2000.0,169,15,good
Электрон,16-980-100,Рабочий,1500.0,16,1,good
Panasonic,TC-21PS70R,Рабочий,1500.0,150,27,good
LG,32LD340,Рабочий,5000.0,98,30,good
Sharp,14EM4RU,Рабочий,500.0,117,9,good
Panasonic,TC-21PS70R,Рабочий,1100.0,79,23,good
Samsung,CS-21Z58Z3Q,Рабочий,2000.0,191,29,good
Samsung,UE48J5150AS,Рабочий,1000.0,168,29,good
Sharp,CV-2132CK1,Рабочий,500.0,7,18,good
LG,21FE6RB-TH,Рабочий,3000.0,43,29,good
Panasonic,TC-25V70R,Рабочий,3000.0,178,14,good
Samsung,UE32H4500AK,Рабочий,10000.0,110,1,good
Витязь,37CTV730-7,Рабочий,1000.0,2,30,good
Hyundai,H-TV1405,Рабочий,800.0,171,13,good
Fujitsu,P42HCA11,Рабочий,700.0,11,6,good
Samsung, CK-2185VR,Рабочий,1500.0,136,13,good
Toshiba,1478XR,Рабочий,1000.0,183,24,good
Thomson,21DM135KG,Рабочий,1500.0,87,2,good
Samsung,CS-15K2MJQ,Рабочий,1000.0,157,15,good
Samsung,CS-29K10 K2R,Рабочий,2000.0,97,19,good
Vestel,15720TFT,Рабочий,600.0,49,12,good
Novex,CT1572FS,Рабочий,1100.0,74,5,good
Электрон,107ТК-980 LCD,Рабочий,1000.0,132,29,good
Samsung,CS-21M21ZAQ,Рабочий,1500.0,12,8,good
Витязь,51CTV6622M,Рабочий,1000.0,171,4,good
Toshiba,21CVZ3R,Рабочий,1500.0,39,13,good
Vestel,VR3711TS,Рабочий,800.0,37,9,good
LG,42LK430,Продаю телевизор,9000.0,154,29,no_data
Samsung,CS-21Z43ZGQ,Продаю телевизор,1500.0,31,24,no_data
Samsung,UE55NU7170U,Продаю телевизор,15000.0,183,11,no_data
Samsung,UE43RU7400U,Продаю телевизор,26000.0,40,7,no_data
GoldStar,LT-19T300R,Продаю телевизор,1000.0,67,16,no_data
Rolsen,C2119,Продаю телевизор,1500.0,22,12,no_data
Funai,TV-2100A MK7,"Телевизор Funai 54 см хорошо работает и выглядит, с пультом.",700.0,84,16,good
Sony,KV-BZ21M71,В хорошем состоянии,700.0,187,13,good
AKAI,14CT01,В хорошем состоянии,700.0,198,21,good
LG,42CS560,В хорошем состоянии,20000.0,171,28,good
Philips,14PT1346,В хорошем состоянии,7000.0,37,18,good
LG,42LV3551,В хорошем состоянии,5000.0,170,21,good
Vestel,VR37TF,В хорошем состоянии,1250.0,25,15,good
LG,32LD320,В хорошем состоянии,5000.0,157,13,good
Sony,KDL-32WD756,В хорошем состоянии,10000.0,28,4,good
Philips,42PFL3404,В хорошем состоянии,10000.0,44,11,good
Haier,LE32B8500T,В хорошем состоянии,10000.0,11,15,good
Rolsen,34R12,В хорошем состоянии,2000.0,143,7,good
Vestel,VR37TF,В хорошем состоянии,750.0,84,9,good
SUPRA,34TI,В хорошем состоянии,2000.0,70,15,good
United,LTV15X67,В хорошем состоянии,1500.0,103,3,good
JVC,AV-2103TE,В хорошем состоянии,1000.0,164,23,good
SUPRA,STV-LC22810FL,В хорошем состоянии,3500.0,68,7,good
Haier,LET42T1000HF,В хорошем состоянии,15000.0,188,20,good
Philips,47PFL7403D,В хорошем состоянии,15000.0,124,10,good
Prestigio,P420DVD-X,В хорошем состоянии,5500.0,154,30,good
Erisson,32LES16,В хорошем состоянии,5000.0,23,18,good
Sharp,LC-26AD5RU,В хорошем состоянии,7000.0,25,14,good
Sony,KV-21T5,В хорошем состоянии,3500.0,104,27,good
Philips,32PF4311,В хорошем состоянии,10000.0,64,11,good
Mystery,MTV-3207W,В хорошем состоянии,6000.0,99,22,good
Rolsen,RL-22B05F,В хорошем состоянии,10000.0,78,19,good
General,21FS39,В хорошем состоянии,3000.0,13,21,good
Mystery,MTV-4029LTA2,В хорошем состоянии,9000.0,13,6,good
SUPRA,STV-LC32T430WL,В хорошем состоянии,10000.0,32,9,good
Рубин,RB-50D9FT2C,В хорошем состоянии,500.0,191,11,good
Toshiba,26A3001PR,В хорошем состоянии,5000.0,192,4,good
Izumi,TLE19H310B,В хорошем состоянии,2000.0,130,27,good
LG,42PJ360R,В хорошем состоянии,15000.0,131,17,good
Panasonic,TX-PR50GT30,В хорошем состоянии,17000.0,89,18,good
Panasonic,TX-LR39EM5A,В хорошем состоянии,10000.0,198,24,good
Samsung,CS-25M6 WTQ,В хорошем состоянии,2000.0,44,5,good
DEXP,F43F7000C/G,В хорошем состоянии,15000.0,66,9,good
Samsung,LE-40A551,В хорошем состоянии,20000.0,131,27,good
LG,32LH570U,В хорошем состоянии,6000.0,134,5,good
Panasonic,OLED TX-55EZ950E,В хорошем состоянии,7000.0,189,12,good
LG,32LD320,В хорошем состоянии,-1.0,187,3,good
Sharp,LC-20D1RU,В хорошем состоянии,10000.0,30,10,good
LG,26LG3050,В хорошем состоянии,5000.0,140,20,good
LG,32LS3500,В хорошем состоянии,7000.0,55,21,good
MYSTERU,MTV-1428,В хорошем состоянии,5500.0,35,28,good
Рубин,RB-22SL1UF,В хорошем состоянии,1000.0,120,16,good
Philips,20PF4121,В хорошем состоянии,4000.0,21,23,good
Samsung,LE37C650,В хорошем состоянии,9500.0,160,12,good
Aquatelevision,ATV-17D,В хорошем состоянии,2000.0,162,6,good
Panasonic,PT-52DL10,В хорошем состоянии,3000.0,44,1,good
Orion,OLT-32802,В хорошем состоянии,7500.0,132,17,good
LG,32LD320,В хорошем состоянии,9000.0,51,12,good
Panasonic,TX-25V80T,В хорошем состоянии,3000.0,14,4,good
Sony,KD-43XD8099,В хорошем состоянии,1000.0,91,4,good
Sony,KDL-40R553C,В хорошем состоянии,23000.0,168,5,good
Rolsen,C2119,В хорошем состоянии,1500.0,144,10,good
Thomson,15A08E60,В хорошем состоянии,3500.0,185,22,good
Rolsen,C15R22NT,В хорошем состоянии,4000.0,109,18,good
Blauberg,LFS4005,В хорошем состоянии,3999.0,41,7,good
Samsung,PS-42A410C1,В хорошем состоянии,10000.0,11,11,good
Toshiba,21CS1R,В хорошем состоянии,2900.0,182,5,good
Samsung,UE32D4020,В хорошем состоянии,15000.0,107,8,good
Panasonic,TX-20LA6P,В хорошем состоянии,15000.0,164,24,good
Samsung,LT27C350EX,В хорошем состоянии,8000.0,27,12,good
MYSTERU,MTV-1428,В хорошем состоянии,2500.0,69,7,good
AKAI,14CTN11BS,В хорошем состоянии,500.0,96,18,good
LG,42LM340T,В хорошем состоянии,15000.0,80,14,good
Conrac,DesignLine OPTIC 27,В хорошем состоянии,500.0,135,17,good
Philips,42PFL3018T,В хорошем состоянии,7000.0,112,20,good
BBK,29LEM-5093/T2C,В хорошем состоянии,6000.0,151,24,good
Philips,15PF7835,В хорошем состоянии,15000.0,173,22,good
LG,24TK410V-WZ,В хорошем состоянии,2000.0,2,24,good
Techno,TS-LCD-2635,В хорошем состоянии,7000.0,28,17,good
Samsung,UE40J5120AU,В хорошем состоянии,19000.0,115,4,good
SUPRA,STV-LC32T410WL,В хорошем состоянии,6000.0,125,28,good
Mystery,MTV-3229LTA2,В хорошем состоянии,6000.0,98,6,good
Samsung,CS-14C8 TR,В хорошем состоянии,1000.0,77,8,good
Samsung,UE55JU6430U,В хорошем состоянии,38000.0,82,11,good
Philips,28PT4475,В хорошем состоянии,500.0,90,27,good
Samsung,LE-32R81B,В хорошем состоянии,8000.0,30,26,good
Philips,29PT9009,В хорошем состоянии,3500.0,66,16,good
Samsung,UE49K5550AU,В хорошем состоянии,30000.0,10,8,good
Sharp,14A-1S,В хорошем состоянии,1000.0,159,15,good
Philips,22PFL3405H,В хорошем состоянии,6000.0,153,19,good
Hisense,43A7300F,В хорошем состоянии,15000.0,141,21,good
TELEFUNKEN,TF-LED40S19T2S,В хорошем состоянии,11999.0,34,26,good
Rolsen,D32WSR100TD,В хорошем состоянии,6000.0,141,7,good
Samsung,UE46F8000,В хорошем состоянии,20000.0,92,24,good
Akira,CT-21CDP5R,В хорошем состоянии,500.0,92,13,good
Elenberg,2108,В хорошем состоянии,2000.0,199,5,good
Sony,KV-29CL11K,В хорошем состоянии,5000.0,155,9,good
BBK,22LEM-1056/FT2C,В хорошем состоянии,5000.0,159,8,good
LG,CT-15Q91KE,В хорошем состоянии,2000.0,37,8,good
Philips,15PFL4122,В хорошем состоянии,2000.0,175,6,good
TELEFUNKEN,TF-LED24S14T2,В хорошем состоянии,4000.0,184,24,good
Skyworth,43E2000,В хорошем состоянии,12000.0,18,16,good
Changhong,LED32C2100,В хорошем состоянии,4500.0,11,3,good
Sharp,LC-32CHG4042E,В хорошем состоянии,7000.0,156,30,good
Samsung,LW-15M13C,В хорошем состоянии,3000.0,119,11,good
Haier,LE32B8000T,В хорошем состоянии,10000.0,114,5,good
Sony,KDL-40W2000,В хорошем состоянии,13000.0,13,4,good
Электрон,22-989-402,В хорошем состоянии,1300.0,163,21,good
Samsung,UE32D4010,В хорошем состоянии,12990.0,148,14,good
Philips,40PFT4309,В хорошем состоянии,10000.0,91,30,good
Sony,KDL-32WD603,"Телевизор в отличном состоянии, насыщенная картинка, пульт в отличном состоянии. Лучший телевизор на 32 дюйма. Smart TV. Все функции работают.",15900.0,16,27,excellent
LG,24TK410V-WZ,Работает,500.0,21,12,good
Samsung,LE22D450,Работает,3000.0,189,10,good
Yuno,ULM-32TCW115,Работает,11009.0,53,24,good
Philips,42PF9946,Работает,5500.0,156,3,good
Samsung,CK-2502SXR,Работает,3000.0,110,25,good
Panasonic,TC-21V80R,Работает,1500.0,77,13,good
LG,21FC2RB,Работает,2000.0,98,7,good
LG,TM2792S,Работает,500.0,153,29,good
Sony,KDF-E42A11E,Работает,5000.0,199,13,good
Samsung,LE26B350F1W,Работает,8000.0,46,10,good
Philips,26PFL5403D,Работает,5000.0,55,1,good
Panasonic,TC-21S1,Работает,600.0,18,13,good
Sony,KV-BZ212M71,Работает,1000.0,162,16,good
LG,21FC2RB,Продам телевизор. Рабочий. Состояние отличное. Диагональ 60.,2500.0,197,17,excellent
Elekta,CTV-1430,"Состояние работы не проверял, давно лежит",500.0,198,20,no_data
Samsung,LE-40S81B,Телевизор в рабоче состоянии. Все функции работают. Пульт необходимо подремонтировать,5500.0,106,24,satisfactory
LG,43UK6200PLA,"4к видео, 43 дюйма, управление с телефона, дублирование экрана с телефона, в хорошем состоянии, покупал в январе 2020г, смарт тв(отлично работает, без глюков), превосходная картинка. Продам в комплекте с соундбаром(колонка под телевизором) работают совместно идеально и кронштейном к телевизору.",30000.0,173,6,good
Samsung,PS-42A410C1,"О личный телевизор, большой
Яркая картинка",9999.0,113,8,excellent
Sony,KDL-40L4000,"Телевизор б/у, есть дефект, внизу темная полоса(на фото видно), дефекту около года, полоса не растекается. Диагональ 40 дюймов, все остальные технические характеристики приведены на фото. Возможен ТОРГ!!! Обмен не рассматриваю. Возможна доставка до места покупателя по КМВ.",5000.0,82,10,bad
Xiaomi,E43S Pro,Бу,600.0,43,21,no_data
Samsung,CS-21K9Q,Бу,2000.0,140,29,no_data
LG,15FC2RB,Бу,700.0,69,11,no_data
Samsung,UE55AU7100U,Бу,40000.0,13,3,no_data
Panasonic,TX-32LE60P,Бу,4000.0,30,1,no_data
iFFALCON,50K61,"Телевизор покупался в марте, в ДНС, состояние нового, за время использования работал около 50 часов, остальное время просто был. Продаю т.к. не использую. Чеки, коробка, упаковка, гарантия.

Характеристики:
Экран
Тип подсветки экрана 
Direct LED
Особенности экрана
нет
Диагональ экрана (дюйм) 
50""
Диагональ экрана 
127 см
Разрешение экрана 
4K UltraHD, 3840x2160
Формат экрана 
16:9
Стандарты HDTV 
Ultra HD (4K) 2160p
Технология HDR 
HDR10
Поддержка HDR 
есть
Параметры матрицы
Частота обновления экрана 
60 Гц
Тип матрицы
VA
Яркость 
270 Кд/м²
Контрастность 
5000
Угол обзора 
178° / 178°
Smart TV
Операционная система 
Android TV
Поддержка Smart TV 
есть
Wi-Fi 
встроенный
Прием сигнала
Цифровые тюнеры 
DVB-T, DVB-T2, DVB-C, DVB-S, DVB-S2
Телетекст 
есть
Звук
Мощность звука 
19 Вт
Технология звука 
Dolby Digital
Сабвуфер 
нет
Объемное звучание 
есть
Мультимедиа
Воспроизведение с внешних носителей 
есть
Поддерживаемые носители
USB
Разъемы и коммутация
Количество HDMI портов 
3
Версия HDMI
HDMI 2.0
Другие аудио/видеовходы
антенный вход, вход спутниковой антенны
Выход на наушники
есть
Другие аудио/видеовыходы
аудио S/PDIF (оптический)
Количество USB 
2
Слот для CI/PCMCIA 
есть
Устройство для чтения карт памяти 
нет
Bluetooth 
есть
Порт Ethernet 
есть
Другие порты и интерфейсы
нет
Функции
Игровой телевизор
нет
Картинка в картинке 
нет
Управление со смартфона
нет
Крепление
Возможность настенного крепления
есть
Размер VESA 
200 x 300
Расположение подставки
по бокам
Дополнительная информация
Максимальная потребляемая мощность 
95 Вт
Комплектация
настольная подставка, пульт ДУ, документация, батарейки
Особенности, дополнительно
Micro Dimming, ROM 16 Гб, RAM 2 Гб, Dynamic Color, приложение MagiConnect
Габариты и вес
Ширина без подставки
1120 мм
Высота без подставки
651 мм
Толщина без подставки
83 мм
Вес без подставки
9.2 кг
Ширина с подставкой
1120 мм
Высота с подставкой
703 мм
Толщина с подставкой
304 мм
Вес с подставкой
9.5 кг
Ширина между ножками подставки
800 мм
Габариты и вес в упаковке
Ширина коробки
1260 мм
Высота коробки
770 мм
Глубина коробки
127 мм
Вес в упаковке
12.64 кг",19000.0,102,22,new
Hyundai,H-LED43FS5001,"Продам телевизор с ЯндексТВ и Алисой. Покупался летом прошлого года, проработал год и начались проблемы с экраном (на фото). В остальном всё работает. Заниматься ремонтом нет времени, может кому пригодится под ремонт или на запчасти. Можно использовать в качестве Яндекс станции) Торг. За так не отдам.",2500.0,46,14,bad
Sony,KDL-50W706B,"Телевизор в отличном состоянии, полный комплект, включая пульт, родной кронштейн, инструкцию. Продаю так как себе купили проектор.",39000.0,170,22,excellent
Sony,KDL-42W705B,Треснута матрица на запчасти,4000.0,198,21,bad
AKAI,LTA-26C904,"Телевизор 67см
Исправный каналы ловит 
Есть HDMi,  VGA, AV.  МОЖНО ПОДКЛЮЧИТЬ ЧТО УГОДНО. 
Прекрасно подойдёт для дачи кухни или видео наблюдения. 
Пульта нет.",3000.0,43,18,good
Philips,37PFL5603D,"Продаётся телевизор philips на ремонт или запчасти, телевизор работает но появился белый экран",1500.0,155,5,bad
BQ,50S04B,"Продам телевизор. На детали или под ремонт. 
Потух экран, но ощущение света в нем при включении присутствует.",4000.0,115,9,bad
Samsung,UE50TU8510U,Телевизор совеишенно новый. Приобретали меся назад. Продаю в связи с пеиеездом в другой город. Цена 40 000р,40000.0,31,16,new
Philips,32PF5322,Продаю телевизор на запчасти.,2500.0,132,13,bad
Samsung,CS-29Z30HPQ,Телевизор в рабочем состоянии,1500.0,97,28,good
Daewoo Electronics,21V1TS,Телевизор в рабочем состоянии,1000.0,47,24,good
Rolsen,D29R55T,Телевизор в рабочем состоянии,1000.0,109,23,good
Thomson,32M71NH20,Телевизор в рабочем состоянии,4000.0,33,13,good
JVC,AV-1401UBE,Телевизор в рабочем состоянии,700.0,123,3,good
Sharp,LC-32WD1RU,Телевизор в рабочем состоянии,3000.0,189,5,good
Samsung,LE-27S71B,Телевизор в рабочем состоянии,6000.0,153,6,good
Samsung,CK-5073ZR,Телевизор в рабочем состоянии,1000.0,62,29,good
Polar,54CTV4135,Телевизор в рабочем состоянии,1500.0,149,6,good
Philips,32PFL5322,Телевизор в рабочем состоянии,500.0,7,27,good
Sharp,21B-SC,Телевизор в рабочем состоянии,1000.0,58,20,good
Samsung,CS-29Z47Z3Q,Телевизор в рабочем состоянии,1000.0,33,11,good
Rolsen,C2160,Телевизор в рабочем состоянии,1000.0,6,17,good
Toshiba,29EJZ6DRX,Телевизор в рабочем состоянии,0.0,106,18,good
LG,CT-15Q91KE,Телевизор в рабочем состоянии,2500.0,95,16,good
Panasonic,TX-26LX60PK,Телевизор в рабочем состоянии,3000.0,135,21,good
Samsung,CK-2085 VR,Телевизор в рабочем состоянии,3000.0,118,15,good
SUPRA,CTV-14001,Телевизор в рабочем состоянии,1500.0,113,24,good
LG,CT-29K35VE,Телевизор в рабочем состоянии,1000.0,160,28,good
DEXP,F49C7000C,Телевизор в рабочем состоянии,14000.0,200,22,good
Izumi,TLE32H330B,Телевизор в рабочем состоянии,8000.0,42,23,good
Panasonic,TX-LR32U20,Телевизор в рабочем состоянии,4500.0,13,21,good
LG,CF-20F30K,Телевизор в рабочем состоянии,500.0,20,23,good
Samsung,UE40ES5507,Телевизор в рабочем состоянии,10000.0,19,23,good
AKAI,15CT22FS,Телевизор в рабочем состоянии,1000.0,142,13,good
Samsung,LE-19R71B,Телевизор в рабочем состоянии,3000.0,191,29,good
Sony,KDL-40W605B,Телевизор в рабочем состоянии,20000.0,114,5,good
General,21FS39,Телевизор в рабочем состоянии,500.0,10,3,good
Philips,42PFL9732D,Телевизор в рабочем состоянии,8000.0,67,21,good
MYSTERU,MTV-1428,Телевизор в рабочем состоянии,0.0,103,25,good
Sharp,14E1RU,Телевизор в рабочем состоянии,1000.0,10,3,good
Samsung,400UX-3,Телевизор в рабочем состоянии,1000.0,152,10,good
TCL,DT-21276SG,Телевизор в рабочем состоянии,1000.0,124,22,good
Toshiba,29CZ8URS,Телевизор в рабочем состоянии,5000.0,155,7,good
Daewoo Electronics,KR-14E5,Телевизор в рабочем состоянии,1000.0,66,3,good
Shivaki,STV-1489,Телевизор в рабочем состоянии,500.0,10,26,good
Panasonic,TX-R32LE8K,Телевизор в рабочем состоянии,4500.0,175,29,good
Erisson,21F2,Телевизор в рабочем состоянии,1500.0,33,4,good
Sanyo,C-21ML1,Телевизор в рабочем состоянии,900.0,146,21,good
Panasonic,OLED TX-55FZ950E,Телевизор в рабочем состоянии,5000.0,75,2,good
Polar,107LTV7013,Телевизор в рабочем состоянии,500.0,161,20,good
Philips,21PT1654,Телевизор в рабочем состоянии,1500.0,67,27,good
Toshiba,26KL933,Телевизор в рабочем состоянии,3900.0,154,25,good
Samsung,CS-29M6 SSQ,Телевизор в рабочем состоянии,900.0,129,26,good
Toshiba,21CJZ6SR,Телевизор в рабочем состоянии,1500.0,190,19,good
Philips,29PT9009,Телевизор в рабочем состоянии,1500.0,161,22,good
Samsung,CS-2039 R,Телевизор в рабочем состоянии,500.0,59,24,good
Рубин,37S20DVD,Телевизор в рабочем состоянии,1000.0,116,10,good
Sony,KV-14T1R,Телевизор в рабочем состоянии,2500.0,81,3,good
Panasonic,TX-29PS70T,Телевизор в рабочем состоянии,1600.0,35,14,good
Elenberg,2108,Телевизор в рабочем состоянии,1000.0,157,4,good
Sanyo,CE-21VF1,Телевизор в рабочем состоянии,600.0,159,15,good
Sony,KV-M2540K,Телевизор в рабочем состоянии,1000.0,110,15,good
Samsung,CS-21N11MJQ,Телевизор в рабочем состоянии,800.0,48,10,good
LG,CF-21D30,Телевизор в рабочем состоянии,2000.0,196,21,good
LG,42LB620V,Телевизор в рабочем состоянии,11000.0,59,10,good
Hyundai,H-TV1405,Телевизор в рабочем состоянии,1000.0,92,18,good
Samsung,QLED QE82Q77RAU,Телевизор на запчасти,10000.0,24,29,bad
Samsung,UE32EH5000,Телевизор на запчасти,5000.0,37,7,bad
TCL,QLED 50C717,Телевизор на запчасти,1500.0,29,5,bad
Samsung,CS-21A530,Телевизор на запчасти,300.0,81,4,bad
Philips,40PFL4308T,Телевизор на запчасти,2000.0,158,13,bad
Philips,42PFL5405H,Телевизор на запчасти,4000.0,141,17,bad
LG,42LN570V,Телевизор на запчасти,3000.0,158,20,bad
LG,NanoCell 49SK7900,Телевизор на запчасти,2000.0,94,26,bad
Samsung,PS43D450,Телевизор на запчасти,1000.0,131,27,bad
Samsung,43NU7100,Телевизор на запчасти,2000.0,190,14,bad
Erisson,32LES92T2,Телевизор на запчасти,3000.0,108,7,bad
BBK,32LEM-1045/T2C,Телевизор на запчасти,2000.0,154,25,bad
LG,42PG100R,Телевизор на запчасти,3000.0,150,10,bad
LG,43UM7020,Телевизор на запчасти,3000.0,27,16,bad
LG,43UH619V,Телевизор на запчасти,900.0,195,3,bad
Samsung,QE55Q7FNA,Телевизор на запчасти,4000.0,2,1,bad
CASIO,LET-15T03,Телевизор на запчасти,500.0,151,13,bad
Daewoo Electronics,DSL-20M1TC,Телевизор на запчасти,1500.0,138,30,bad
Samsung,QLED QE65Q70TAU,Телевизор на запчасти,9000.0,19,15,bad
Sony,KDL-26V4500,Телевизор на запчасти,2000.0,40,11,bad
Samsung,LE32B450C4W,Телевизор на запчасти,-1.0,144,25,bad
SUPRA,STV-LC32LT0075W,Телевизор на запчасти,1500.0,63,2,bad
LG,65UH620V,Телевизор на запчасти,3000.0,77,23,bad
Thomson,29DM400,Телевизор на запчасти,1000.0,126,3,bad
Сокол,63ТЦ8739FS,Телевизор на запчасти,500.0,85,22,bad
LG,55UB828V,Телевизор на запчасти,5000.0,145,12,bad
Philips,15PF4110,Телевизор на запчасти,300.0,90,12,bad
Samsung,UE55MU7000U,Телевизор на запчасти,15000.0,185,3,bad
Samsung,UE40MU6100U,Телевизор на запчасти,3500.0,3,23,bad
Philips,42PFL9732D,Телевизор на запчасти,1700.0,88,20,bad
LG,43LK5990,Телевизор на запчасти,3000.0,18,16,bad
Haier,LE32K6500SA,Телевизор на запчасти,1000.0,124,24,bad
Mystery,MTV-1911LW,Телевизор на запчасти,1000.0,25,5,bad
Рубин,51M07,Телевизор на запчасти,0.0,41,8,bad
Lentel,32LT2020,Телевизор на запчасти,1000.0,80,3,bad
BBK,32LEX-5007/T2C,Телевизор на запчасти,2500.0,83,1,bad
Philips,37PFL4606H,Телевизор на запчасти,-1.0,175,14,bad
LG,43LJ610V,Телевизор на запчасти,3000.0,115,22,bad
Sony,KDL-48WD653,Телевизор на запчасти,10000.0,186,21,bad
Samsung,UE40F6500,Телевизор на запчасти,12000.0,13,21,bad
Daewoo Electronics,DLP-42C7,Телевизор на запчасти,2000.0,100,14,bad
Novex,NWT-24H121MS,Телевизор на запчасти,4000.0,80,6,bad
Samsung,UE50ES5507,Телевизор на запчасти,1500.0,124,15,bad
Pioneer,KRL-37V,Телевизор на запчасти,3000.0,21,12,bad
Sharp,LC-32LE144,Телевизор на запчасти,1000.0,45,2,bad
Xiaomi,Mi TV 4S 65,Телевизор на запчасти,4000.0,69,5,bad
LG,50UK6300,Телевизор на запчасти,1000.0,93,14,bad
TELEFUNKEN,TF-LED48S39T2S,Телевизор на запчасти,2000.0,154,9,bad
TELEFUNKEN,TF-LED24S30,Телевизор на запчасти,3500.0,181,18,bad
LG,50LB675V,Телевизор на запчасти,10000.0,190,26,bad
JVC,AV-2107CE,Телевизор на запчасти,400.0,13,23,bad
Xiaomi,L32M5-5ARU,Телевизор на запчасти,3000.0,161,15,bad
LG,43LK5910,Телевизор на запчасти,5000.0,196,21,bad
Elenberg,1401,Продам телевизор большой. Без пульта. Рабочий. Самовывоз. Энгельс,1000.0,27,4,good
Samsung,CS-21K10MHQ,На запчасти,500.0,166,10,bad
JVC,LT-43M650,На запчасти,1900.0,173,28,bad
Xiaomi,Mi TV 4S 43,На запчасти,4000.0,16,18,bad
Hi,32HS111X,На запчасти,1000.0,113,19,bad
Sony,KDL-32W503A,На запчасти,5000.0,28,21,bad
Sharp,LC-70LE835,На запчасти,9000.0,89,28,bad
DEXP,H24F7000E,На запчасти,2000.0,26,27,bad
Sony,KLV-40BX401,На запчасти,5000.0,159,16,bad
LG,55UK6300,На запчасти,6000.0,171,9,bad
TELEFUNKEN,32HB5003,На запчасти,1500.0,166,3,bad
Philips,14PT1346,На запчасти,500.0,157,14,bad
