seller_id;quantity;date
325;19;2021-06-28
228;8;2021-06-07
274;4;2021-06-05
208;27;2021-06-24
76;20;2021-06-03
27;9;2021-06-08
160;19;2021-06-19
26;14;2021-06-22
54;19;2021-06-15
396;11;2021-06-11
184;26;2021-06-16
181;22;2021-06-16
383;16;2021-06-12
3;230;2021-06-24
304;23;2021-06-16
117;18;2021-06-05
308;11;2021-06-18
190;15;2021-06-16
292;15;2021-06-25
398;29;2021-06-12
245;10;2021-06-09
473;3;2021-06-14
24;22;2021-06-27
204;20;2021-06-23
328;29;2021-06-14
0;455;2021-06-13
135;17;2021-06-28
283;15;2021-06-13
52;9;2021-06-19
90;11;2021-06-15
204;56;2021-06-14
87;18;2021-06-11
233;27;2021-06-12
239;32;2021-06-20
478;10;2021-06-13
257;13;2021-06-27
50;19;2021-06-28
437;14;2021-06-27
152;13;2021-06-06
6;15;2021-06-26
446;10;2021-06-27
79;20;2021-06-08
139;15;2021-06-11
246;15;2021-06-07
371;10;2021-06-16
395;32;2021-06-24
25;15;2021-06-01
74;62;2021-06-13
467;16;2021-06-07
278;13;2021-06-08
385;25;2021-06-24
468;26;2021-06-14
269;26;2021-06-17
48;15;2021-06-17
12;116;2021-06-14
168;31;2021-06-15
486;13;2021-06-26
376;23;2021-06-20
16;8;2021-06-11
39;89;2021-06-24
90;7;2021-06-11
139;11;2021-06-12
18;153;2021-06-13
311;49;2021-06-14
317;26;2021-06-28
410;8;2021-06-12
401;6;2021-06-26
368;11;2021-06-08
92;9;2021-06-10
239;23;2021-06-01
27;67;2021-06-23
280;34;2021-06-17
406;11;2021-06-12
117;15;2021-06-11
390;30;2021-06-13
103;4;2021-06-06
31;6;2021-06-17
288;8;2021-06-02
420;12;2021-06-11
434;19;2021-06-21
115;24;2021-06-05
155;1;2021-06-17
305;25;2021-06-21
362;12;2021-06-03
200;17;2021-06-28
414;13;2021-06-05
463;28;2021-06-24
340;32;2021-06-24
294;8;2021-06-19
194;12;2021-06-26
323;37;2021-06-24
94;10;2021-06-21
491;10;2021-06-18
253;22;2021-06-06
277;36;2021-06-14
466;37;2021-06-23
418;17;2021-06-14
230;40;2021-06-20
306;10;2021-06-10
493;25;2021-06-01
222;9;2021-06-17
245;21;2021-06-20
64;8;2021-06-05
485;14;2021-06-12
319;25;2021-06-26
437;19;2021-06-07
164;19;2021-06-17
191;3;2021-06-26
387;23;2021-06-02
437;16;2021-06-09
480;16;2021-06-07
177;23;2021-06-20
124;30;2021-06-11
381;24;2021-06-13
432;20;2021-06-08
356;6;2021-06-01
348;15;2021-06-20
321;3;2021-06-27
156;11;2021-06-11
432;12;2021-06-06
410;25;2021-06-14
268;12;2021-06-09
92;10;2021-06-22
232;19;2021-06-18
178;21;2021-06-15
214;25;2021-06-22
185;18;2021-06-16
193;46;2021-06-24
102;25;2021-06-15
458;18;2021-06-12
367;16;2021-06-03
456;12;2021-06-16
389;18;2021-06-12
26;9;2021-06-12
185;5;2021-06-10
204;21;2021-06-01
107;18;2021-06-07
350;16;2021-06-12
373;47;2021-06-14
97;13;2021-06-03
245;13;2021-06-02
332;11;2021-06-15
135;18;2021-06-11
164;75;2021-06-14
61;25;2021-06-23
29;71;2021-06-13
365;9;2021-06-10
369;24;2021-06-05
67;26;2021-06-01
45;25;2021-06-18
469;23;2021-06-09
365;10;2021-06-26
26;4;2021-06-18
184;22;2021-06-08
42;17;2021-06-11
447;16;2021-06-10
44;7;2021-06-03
226;19;2021-06-09
103;21;2021-06-20
231;26;2021-06-09
247;21;2021-06-02
27;5;2021-06-02
75;13;2021-06-21
69;55;2021-06-13
459;20;2021-06-28
486;27;2021-06-25
172;21;2021-06-18
454;19;2021-06-25
121;11;2021-06-08
287;14;2021-06-19
147;13;2021-06-04
4;24;2021-06-27
110;27;2021-06-20
248;47;2021-06-23
191;41;2021-06-19
278;18;2021-06-06
89;89;2021-06-24
408;18;2021-06-21
324;15;2021-06-25
186;13;2021-06-15
493;15;2021-06-06
345;13;2021-06-20
400;19;2021-06-21
236;23;2021-06-17
300;10;2021-06-19
211;24;2021-06-26
343;8;2021-06-16
308;14;2021-06-26
370;9;2021-06-28
300;9;2021-06-08
95;20;2021-06-25
258;12;2021-06-16
408;10;2021-06-25
2;93;2021-06-13
214;19;2021-06-05
74;21;2021-06-10
183;16;2021-06-18
438;37;2021-06-12
466;32;2021-06-22
258;45;2021-06-24
270;29;2021-06-05
235;14;2021-06-03
162;10;2021-06-28
356;17;2021-06-05
68;10;2021-06-25
400;7;2021-06-18
450;32;2021-06-24
401;16;2021-06-09
395;20;2021-06-26
280;18;2021-06-28
170;9;2021-06-28
308;17;2021-06-17
0;21;2021-06-20
113;14;2021-06-07
341;24;2021-06-23
121;8;2021-06-27
475;24;2021-06-23
268;12;2021-06-19
318;29;2021-06-04
437;19;2021-06-21
333;13;2021-06-19
216;12;2021-06-06
7;63;2021-06-23
181;21;2021-06-26
87;12;2021-06-21
289;15;2021-06-18
472;35;2021-06-15
167;17;2021-06-19
46;18;2021-06-12
105;16;2021-06-27
109;12;2021-06-24
81;28;2021-06-10
128;33;2021-06-13
131;25;2021-06-11
258;56;2021-06-14
144;20;2021-06-04
282;14;2021-06-03
431;11;2021-06-04
145;37;2021-06-12
410;25;2021-06-15
100;19;2021-06-11
2;35;2021-06-21
470;10;2021-06-12
12;16;2021-06-08
77;7;2021-06-03
458;25;2021-06-21
171;66;2021-06-13
184;19;2021-06-27
409;15;2021-06-27
249;16;2021-06-08
32;9;2021-06-10
142;54;2021-06-13
455;15;2021-06-14
128;29;2021-06-28
126;25;2021-06-09
404;15;2021-06-27
470;26;2021-06-19
110;23;2021-06-23
213;16;2021-06-27
8;104;2021-06-23
403;18;2021-06-28
52;13;2021-06-28
162;31;2021-06-01
19;18;2021-06-04
228;35;2021-06-12
61;26;2021-06-06
196;22;2021-06-16
9;27;2021-06-19
158;49;2021-06-20
256;11;2021-06-13
352;14;2021-06-20
215;22;2021-06-17
101;14;2021-06-01
193;31;2021-06-27
127;24;2021-06-03
319;10;2021-06-21
54;13;2021-06-16
353;10;2021-06-20
172;11;2021-06-22
467;17;2021-06-03
430;20;2021-06-10
84;14;2021-06-03
168;10;2021-06-25
308;15;2021-06-13
236;14;2021-06-02
316;14;2021-06-19
367;42;2021-06-23
265;36;2021-06-14
475;18;2021-06-10
469;6;2021-06-22
427;14;2021-06-10
425;8;2021-06-23
306;18;2021-06-23
15;26;2021-06-25
326;10;2021-06-25
30;10;2021-06-11
147;22;2021-06-19
266;13;2021-06-27
302;36;2021-06-13
180;12;2021-06-21
4;13;2021-06-06
112;9;2021-06-14
384;7;2021-06-05
8;9;2021-06-07
304;10;2021-06-04
161;8;2021-06-22
475;23;2021-06-11
251;67;2021-06-24
224;20;2021-06-12
198;22;2021-06-16
101;13;2021-06-06
269;9;2021-06-20
332;10;2021-06-27
106;5;2021-06-28
269;20;2021-06-03
449;4;2021-06-01
405;19;2021-06-09
185;20;2021-06-14
59;15;2021-06-15
141;19;2021-06-10
151;29;2021-06-17
487;11;2021-06-25
103;8;2021-06-11
218;33;2021-06-23
247;69;2021-06-14
135;17;2021-06-07
204;36;2021-06-10
7;227;2021-06-13
197;21;2021-06-04
322;27;2021-06-28
240;21;2021-06-06
377;16;2021-06-08
397;22;2021-06-23
445;15;2021-06-21
191;14;2021-06-20
339;4;2021-06-15
128;11;2021-06-04
24;10;2021-06-28
216;18;2021-06-15
118;82;2021-06-13
464;14;2021-06-20
493;11;2021-06-25
259;12;2021-06-03
400;11;2021-06-07
133;46;2021-06-13
36;135;2021-06-13
49;115;2021-06-24
9;125;2021-06-24
280;15;2021-06-01
383;10;2021-06-16
57;102;2021-06-24
176;22;2021-06-20
21;11;2021-06-03
30;13;2021-06-03
301;39;2021-06-14
110;39;2021-06-14
97;87;2021-06-13
393;19;2021-06-16
372;29;2021-06-11
145;20;2021-06-18
237;23;2021-06-23
205;10;2021-06-06
153;41;2021-06-24
180;13;2021-06-15
475;5;2021-06-06
246;12;2021-06-09
493;13;2021-06-15
394;7;2021-06-05
180;7;2021-06-20
429;13;2021-06-26
378;21;2021-06-18
155;11;2021-06-01
41;128;2021-06-24
465;30;2021-06-23
486;11;2021-06-05
350;30;2021-06-14
452;5;2021-06-02
410;19;2021-06-17
267;23;2021-06-04
379;23;2021-06-23
170;21;2021-06-20
280;16;2021-06-22
112;25;2021-06-07
49;19;2021-06-18
235;6;2021-06-18
125;73;2021-06-24
290;17;2021-06-17
229;22;2021-06-20
63;18;2021-06-08
61;7;2021-06-01
147;71;2021-06-23
165;6;2021-06-27
63;106;2021-06-24
295;18;2021-06-08
53;13;2021-06-12
415;11;2021-06-15
70;6;2021-06-26
314;20;2021-06-21
101;59;2021-06-24
179;5;2021-06-06
293;12;2021-06-13
402;16;2021-06-11
127;16;2021-06-04
308;32;2021-06-01
394;18;2021-06-10
175;18;2021-06-17
389;18;2021-06-01
131;50;2021-06-24
141;13;2021-06-26
388;12;2021-06-21
123;36;2021-06-15
33;5;2021-06-12
133;15;2021-06-22
167;67;2021-06-24
19;15;2021-06-01
219;16;2021-06-04
26;46;2021-06-14
4;27;2021-06-02
317;10;2021-06-16
252;15;2021-06-01
33;17;2021-06-21
243;15;2021-06-12
77;18;2021-06-08
84;25;2021-06-22
192;14;2021-06-22
288;27;2021-06-23
119;15;2021-06-26
222;2;2021-06-03
428;20;2021-06-15
208;13;2021-06-11
287;17;2021-06-11
148;23;2021-06-10
194;14;2021-06-05
43;9;2021-06-22
177;25;2021-06-13
236;10;2021-06-16
399;39;2021-06-14
189;61;2021-06-13
40;18;2021-06-17
306;27;2021-06-02
192;11;2021-06-21
424;11;2021-06-19
58;37;2021-06-13
360;15;2021-06-22
327;36;2021-06-14
257;13;2021-06-25
117;45;2021-06-13
33;15;2021-06-18
267;12;2021-06-05
284;14;2021-06-04
472;23;2021-06-24
17;15;2021-06-20
256;23;2021-06-05
260;15;2021-06-22
277;17;2021-06-11
201;7;2021-06-04
65;33;2021-06-26
428;19;2021-06-13
302;7;2021-06-22
235;18;2021-06-07
308;30;2021-06-24
172;16;2021-06-26
205;17;2021-06-09
186;36;2021-06-20
55;4;2021-06-20
119;11;2021-06-20
489;15;2021-06-28
224;24;2021-06-10
326;5;2021-06-22
30;11;2021-06-07
213;12;2021-06-28
3;15;2021-06-09
256;10;2021-06-21
267;16;2021-06-22
216;20;2021-06-07
198;15;2021-06-11
209;13;2021-06-11
388;13;2021-06-20
167;3;2021-06-03
303;8;2021-06-09
435;23;2021-06-11
330;22;2021-06-19
62;27;2021-06-18
283;15;2021-06-17
237;14;2021-06-19
156;34;2021-06-08
65;110;2021-06-13
328;19;2021-06-13
13;65;2021-06-23
15;175;2021-06-13
121;27;2021-06-21
404;12;2021-06-23
257;15;2021-06-03
365;27;2021-06-19
217;52;2021-06-24
9;23;2021-06-18
174;22;2021-06-01
474;15;2021-06-20
192;19;2021-06-10
106;16;2021-06-07
196;23;2021-06-15
100;8;2021-06-28
118;8;2021-06-07
82;17;2021-06-12
26;23;2021-06-11
52;17;2021-06-21
22;17;2021-06-12
307;25;2021-06-15
102;6;2021-06-06
136;14;2021-06-21
459;14;2021-06-02
305;12;2021-06-27
398;12;2021-06-26
39;47;2021-06-23
88;14;2021-06-26
114;9;2021-06-20
307;53;2021-06-13
125;21;2021-06-25
390;31;2021-06-05
169;14;2021-06-06
81;30;2021-06-21
103;37;2021-06-23
294;13;2021-06-02
389;35;2021-06-14
421;19;2021-06-28
59;18;2021-06-10
20;106;2021-06-14
234;13;2021-06-26
65;14;2021-06-03
101;13;2021-06-19
337;43;2021-06-13
113;6;2021-06-18
371;28;2021-06-14
315;52;2021-06-14
158;27;2021-06-15
50;18;2021-06-18
400;12;2021-06-12
245;19;2021-06-22
475;26;2021-06-07
306;22;2021-06-25
197;7;2021-06-11
409;18;2021-06-21
228;13;2021-06-06
21;17;2021-06-13
294;14;2021-06-20
433;20;2021-06-26
385;14;2021-06-20
94;10;2021-06-02
239;43;2021-06-23
119;60;2021-06-14
324;16;2021-06-28
489;12;2021-06-21
410;9;2021-06-02
299;25;2021-06-06
190;19;2021-06-18
300;8;2021-06-18
170;6;2021-06-22
139;14;2021-06-22
447;14;2021-06-09
79;33;2021-06-17
4;25;2021-06-28
242;29;2021-06-04
32;12;2021-06-12
437;26;2021-06-13
323;8;2021-06-18
5;6;2021-06-03
417;11;2021-06-21
82;24;2021-06-25
185;2;2021-06-09
227;23;2021-06-23
20;14;2021-06-10
304;7;2021-06-17
147;10;2021-06-05
398;8;2021-06-04
122;10;2021-06-26
294;14;2021-06-17
458;12;2021-06-26
429;16;2021-06-11
71;34;2021-06-06
379;22;2021-06-13
334;5;2021-06-08
43;14;2021-06-19
92;17;2021-06-04
70;21;2021-06-02
9;16;2021-06-28
419;10;2021-06-01
208;8;2021-06-17
465;20;2021-06-03
167;26;2021-06-11
486;15;2021-06-16
86;12;2021-06-02
177;11;2021-06-11
414;12;2021-06-03
98;84;2021-06-13
428;9;2021-06-22
58;5;2021-06-11
254;7;2021-06-17
121;18;2021-06-11
84;16;2021-06-21
171;10;2021-06-07
314;41;2021-06-13
7;18;2021-06-10
70;28;2021-06-09
279;22;2021-06-13
236;12;2021-06-21
42;16;2021-06-17
330;16;2021-06-17
286;8;2021-06-06
101;12;2021-06-05
446;29;2021-06-13
417;22;2021-06-27
52;11;2021-06-18
427;21;2021-06-12
30;34;2021-06-08
434;4;2021-06-20
352;17;2021-06-18
375;29;2021-06-22
465;7;2021-06-10
197;15;2021-06-01
393;12;2021-06-02
460;13;2021-06-16
472;15;2021-06-09
98;9;2021-06-11
356;33;2021-06-12
321;35;2021-06-15
128;13;2021-06-01
193;66;2021-06-13
189;13;2021-06-28
40;10;2021-06-07
401;19;2021-06-06
223;9;2021-06-25
3;12;2021-06-03
338;26;2021-06-21
329;11;2021-06-11
86;8;2021-06-09
260;15;2021-06-09
72;61;2021-06-14
228;44;2021-06-23
377;43;2021-06-24
148;26;2021-06-11
232;21;2021-06-08
132;31;2021-06-23
392;8;2021-06-17
229;12;2021-06-25
397;14;2021-06-22
422;16;2021-06-25
289;12;2021-06-11
154;8;2021-06-27
367;13;2021-06-09
168;35;2021-06-24
301;34;2021-06-24
178;26;2021-06-09
0;22;2021-06-10
229;14;2021-06-16
440;21;2021-06-13
61;12;2021-06-07
357;14;2021-06-13
443;9;2021-06-19
118;21;2021-06-26
88;19;2021-06-22
291;9;2021-06-03
304;32;2021-06-23
280;39;2021-06-18
64;10;2021-06-08
172;84;2021-06-24
52;17;2021-06-05
437;15;2021-06-18
262;7;2021-06-01
165;66;2021-06-14
432;31;2021-06-24
366;6;2021-06-22
183;20;2021-06-22
489;16;2021-06-26
221;16;2021-06-15
182;16;2021-06-16
415;11;2021-06-04
277;22;2021-06-22
31;10;2021-06-06
25;27;2021-06-09
214;30;2021-06-01
49;11;2021-06-06
110;23;2021-06-08
79;61;2021-06-23
377;12;2021-06-05
166;38;2021-06-14
368;21;2021-06-19
169;25;2021-06-15
132;20;2021-06-21
472;8;2021-06-12
145;17;2021-06-10
198;10;2021-06-25
427;16;2021-06-09
6;22;2021-06-16
371;15;2021-06-19
107;14;2021-06-21
459;14;2021-06-18
174;32;2021-06-14
429;9;2021-06-08
455;16;2021-06-15
74;16;2021-06-22
166;14;2021-06-22
278;15;2021-06-18
38;21;2021-06-21
25;12;2021-06-11
118;28;2021-06-28
44;14;2021-06-27
304;12;2021-06-25
446;6;2021-06-12
220;29;2021-06-10
389;20;2021-06-19
172;18;2021-06-07
282;7;2021-06-04
464;22;2021-06-04
213;19;2021-06-11
211;23;2021-06-16
163;8;2021-06-20
7;15;2021-06-25
30;8;2021-06-22
58;19;2021-06-05
272;43;2021-06-13
477;17;2021-06-08
207;50;2021-06-14
296;21;2021-06-15
341;11;2021-06-05
178;23;2021-06-06
171;5;2021-06-28
410;14;2021-06-16
105;28;2021-06-01
6;142;2021-06-13
251;30;2021-06-23
52;117;2021-06-24
231;8;2021-06-22
425;7;2021-06-20
108;87;2021-06-13
135;7;2021-06-26
319;3;2021-06-19
78;21;2021-06-05
415;22;2021-06-18
342;9;2021-06-28
458;13;2021-06-22
128;93;2021-06-14
60;14;2021-06-11
244;14;2021-06-21
113;14;2021-06-03
169;11;2021-06-03
133;25;2021-06-16
379;21;2021-06-11
106;18;2021-06-10
16;10;2021-06-01
436;16;2021-06-16
258;2;2021-06-04
279;15;2021-06-27
88;8;2021-06-28
141;22;2021-06-16
54;97;2021-06-13
66;8;2021-06-03
79;17;2021-06-11
134;23;2021-06-15
325;27;2021-06-07
161;18;2021-06-20
2;7;2021-06-07
277;23;2021-06-25
387;20;2021-06-07
435;15;2021-06-21
181;26;2021-06-11
308;7;2021-06-06
192;9;2021-06-07
380;14;2021-06-20
24;10;2021-06-22
123;69;2021-06-14
21;26;2021-06-16
392;21;2021-06-01
88;20;2021-06-04
391;10;2021-06-05
136;22;2021-06-28
21;16;2021-06-19
195;18;2021-06-28
274;16;2021-06-16
424;14;2021-06-05
192;17;2021-06-16
159;11;2021-06-11
260;23;2021-06-08
347;40;2021-06-13
352;37;2021-06-12
85;18;2021-06-18
283;20;2021-06-28
45;10;2021-06-09
1;178;2021-06-23
196;29;2021-06-13
36;7;2021-06-16
196;18;2021-06-03
397;40;2021-06-07
427;13;2021-06-19
166;13;2021-06-28
76;22;2021-06-11
484;20;2021-06-15
382;54;2021-06-14
206;48;2021-06-23
